514, 539
295, 539
139, 539
514, 508
482, 508
451, 508
420, 508
389, 508
358, 508
326, 508
295, 508
139, 508
514, 477
295, 477
139, 477
514, 445
295, 446
139, 446
514, 414
295, 414
139, 414
46, 414
514, 383
295, 383
139, 383
77, 383
514, 352
295, 352
233, 352
139, 352
77, 352
514, 321
482, 321
451, 321
420, 321
389, 321
358, 321
326, 321
295, 321
233, 321
139, 321
77, 321
514, 289
295, 290
202, 289
139, 290
77, 289
514, 258
295, 258
202, 258
139, 258
108, 258
514, 227
295, 227
171, 227
139, 227
108, 227
514, 196
295, 196
139, 196
514, 165
295, 165
233, 165
202, 165
170, 165
139, 165
108, 165
77, 165
46, 165
514, 133
482, 133
451, 134
420, 134
389, 133
358, 133
326, 133
295, 134
139, 134
358, 102
139, 102
389, 71
139, 71
389, 40
139, 40
